Kode Produk,MAE_XGBoost,MAE_MA4,RMSE_XGBoost,RMSE_MA4,Engine
OB-HUFPILSYR60MBIR,1.9573,0.5625,2.0185,0.5995,MA-4
OB-IBUPRO400TRI,8.2824,8.5417,10.182,10.1807,XGBoost
OB-ICHZAL,1.8787,0.6667,1.9862,0.8354,MA-4
OB-INSCOOTETMATPTPHEACAR,1.2441,0.9583,1.4129,1.2033,MA-4
OB-INSREGTETMATPTPHEACAR,1.9899,0.5625,2.0908,0.7181,MA-4
OB-KAD,7.5885,7.7083,9.2239,10.333,XGBoost
OB-KALSAL,2.2683,0.8333,2.3765,1.3229,MA-4
OB-KETSAL,2.4379,0.0,2.4379,0.0,MA-4
OB-LAC,2.6567,3.0417,3.0679,3.4985,XGBoost
OB-LERSYR,2.0453,0.6667,2.1777,0.9298,MA-4
OB-LICTAB,1.6951,1.4375,1.9631,1.9961,MA-4
OB-LOKTAB,15.304,15.625,17.7821,19.4052,XGBoost
OB-MET4MGTABPTH,31.4655,33.5417,42.1651,41.6114,XGBoost
OB-MET4MGTABPTT,29.0471,30.8333,37.1048,35.8963,XGBoost
OB-METHCL500,5.7218,2.7917,6.587,3.1836,MA-4
OB-MEX,19.2252,20.2083,24.0883,25.729,XGBoost
OB-MICGEL,2.1263,0.4583,2.2083,0.6693,MA-4
OB-MICNIT,1.6678,0.8542,1.8533,1.1016,MA-4
OB-MIRFOR,2.0482,0.6875,2.1463,0.7806,MA-4
OB-MIRTAB,2.0521,0.5625,2.1878,0.875,MA-4
OB-MIRTAB1,2.3639,1.375,2.5944,1.9365,MA-4
OB-MIX,20.4299,22.9167,27.7922,30.0867,XGBoost
OB-MOL05,14.0632,11.875,17.246,16.1536,MA-4
OB-MOL075MGTAB,20.4534,23.3333,22.8839,26.9645,XGBoost
OB-MUCDROSYR,1.962,0.5417,2.1047,0.8036,MA-4
OB-MYCCRE,1.4699,0.6875,1.6571,0.8985,MA-4
OB-MYLSYR50M,1.7946,0.5,1.8606,0.5951,MA-4
OB-NAC,1.4969,1.0,1.7525,1.1087,MA-4
OB-NEUFOR,1.7636,0.8333,1.8884,1.2374,MA-4
OB-NEUINJ,2.3824,0.1875,2.3824,0.375,MA-4
OB-NEURX,12.803,13.5417,14.7233,15.6292,XGBoost
OB-NISSAL,1.7614,0.7917,1.9025,1.1319,MA-4
OB-NOV500,7.0667,8.125,8.2539,14.7373,XGBoost
OB-NOVTAB1,22.7482,21.25,33.9651,32.2102,MA-4
OB-OBHCOMANASTR,2.1263,0.4583,2.2083,0.6693,MA-4
OB-OMEGEN,10.4098,9.7917,12.4804,11.9678,MA-4
OB-ONDHCLMEG,5.7992,5.2083,6.1444,5.5434,MA-4
OB-PARTAB,1.9766,1.2083,2.1217,1.729,MA-4
OB-PARTRI,2.7363,2.1458,3.2435,3.3393,MA-4
